Kata Tidak Baku,Kata Baku
leukimia,leukemia
linier,linear
literal,litoral
litosfir,litosfer
lobang,lubang
loby,lobi
lohor,zhuhur
lokalisir,lokalisasi
long march,longmars
losin,lusin
ma’af,maaf
maag,mag
maap,maaf
macem,macam
madzab,mazhab
mafum,mafhum
maghrib,magrib
mahnet,magnet
maisena,maizena
makcomblang,mak comblang
makdum,makhdum
makro ekonomi,makroekonomi
malpraktek,malapraktik
mampet,mampat
manager,manajer
mandeg,mandek
mangkok,mangkuk
mantera,mantra
manuskrif,manuskrip
marathon,maraton
margarine,margarin
marjinal,marginal
mas,emas
masal,massal
materai,meterai
maximum,maksimum
mempengaruhi,memengaruhi
mencontek,menyontek
mengkonsumsi,mengonsumsi
mentri,menteri
merk,merek
merubah,mengubah
mesjid,masjid
mesosfir,mesosfer
metoda,metode
mi’raj,mikraj
miliyar,miliar
milyar,miliar
missi,misi
mulya,mulia
mushola,musala
nadzar,nazar
nafas,napas
nahkoda,nakhoda
nampak,tampak
nara sumber,narasumber
nasehat,nasihat
negri,negeri
nenas,nanas
neo-kolonialisme,neokolonialisme
netralisir,netralisasi
netto,neto
nipas,nifas
nomer,nomor
non aktif,nonaktif
non militer,nonmiliter
non-blok,nonblok
nopember,november
notulen,notula
obyek,objek
obyektif,objektif
oditorium,auditorium
ok,oke
okulele,ukulele
omset,omzet
ongseng,gongseng
onta,unta
opostrop,apostrof
orange,oranye
orchestra,orkestra
organisir,organisasi
orisinil,orisinal
orkhestra,orkestra
oseng-oseng,gongseng
osmosis,osmose
otentik,autentik
padepokan,pedepokan
padri,paderi
pait,pahit
palem,palm
pamfelet,pamflet
panca indra,pancaindera
pancoran,pancuran
panembahan,penembahan
pangkreas,pankreas
panili,vanili
paradox,paradoks
paragoge,parogog
paramedik,paramedis
parasit,parasut
pas photo,pasfoto
pasca panen,pascapanen
pasca perang,pascaperang 
pasca sarjana,pascasarjana
pasport,paspor
patent,paten
pavilyun,paviliun
pebruari,februari
pedes,pedas
peliara,pelihara
pengrajin,perajin
perancis,prancis
perduli,peduli
perespektif,perspektif
Philipina,Filipina
photo,foto
photo copy,fotokopi
photokopi,fotokopi
piara,pelihara
pinsil,pensil
piranti,peranti
pirsawan,pemirsa
plat,flat
plesetan,pelesetan
plesir,pelesir
pleton,peleton
plintir,pelintir
polio,folio
pondasi,fondasi
pospor,fosfor
presepsi,persepsi
presidental,presidensial
produktifitas,produktivitas
produktip,produktif
projek,proyek
propinsi,provinsi
putera,putra
puteri,putri
qur’an,quran
radio aktif,radioaktif
rajia,razia
rame,ramai
rangking,ranking
rangsel,ransel
rapal,lafal
rapih,rapi
raport,rapor
rapot,rapor
rasia,razia
rasionil,rasional
realisir,realisasi
reamur,reaumur
Rebo,Rabu
rejim,rezim
rejeki,rezeki
rekaat,rakaat
rekruit,rekrut
relif,relief
rematik,reumatik
renaisan,renaisans
rengking,ranking
reptil,reptilia
reservoir,reservoar
resiko,risiko
resim,rezim
resistan,resistans
respon,respons
restauran,restoran
resum,resume
rezki,rezeki
ridho,rida
riil,real
rilai,relai
rubuh,roboh
ruh,roh
sahadat,syahadat
sahid,syahid
saka guru guru,sakaguru
saklar,sakelar
sambel,sambal
sangkalan,sengkalan
sangsi,sanksi
sanjak,sajak
Sansekerta,Sanskerta
saos,saus
saplemen,suplemen
sariawan,seriawan
sastera,satra
sate,satai
sawal,syawal
score,skor
sebab-musabab,musabab
sedia kala,sediakala
seign,sein
sekedar,sekadar
sekertaris,sekretaris
sekolastik,skolastik
sekor,skor
seksama,saksama
sekta,sekte
sekterian,sektarian
sekuadron,eskadron
sekuler,sekular
selektifitas,selektivitas
selinder,silinder
selulose,selulosa
semanda,semenda
sembrono,sembrana
semedi,semadi
sempoa,swipoa
sen,sein
senopati,senapati
sense,sinse
sentausa,sentosa
sentimentil,sentimental
sentra,sentral
sepakbor,sepatbor
sepanduk,spanduk
sepesial,spesial
sepesies,spesies
sepionase,spionase
sepiritus,spiritus
sepon,spons
seprei,seprai
serba aneka,serbaneka
seruling,suling
seruni,serunai
service,servis
setansa,stanza
seterika,setrika
strika,setrika
setriker,striker
seyogyanya,seyogianya
shaf,saf
shalat,salat
shampo,sampo
she,syekh
shogun,syogun
sholat,salat
sign,sein
silahkan,silakan
silaturohmi,silaturahmi
simple,simpel
sinagog,sinagoge
sindrome,sindrom
sinkope,sinkop
sintesa,sintesis
sirik,syirik
sirine,sirene
sirop,sirup
sistim,sistem
sitar,ziter
siter,ziter
Siwa,Syiwa
skholastik,skolastik
skop,sekop
skore,skor
skorsing,skors
sky,ski
slank,slang
slendro,selendro
sleng,slang
slenk,slang
slinder,silinder
smash,smes
sobat,sahabat
sodakoh,sedekah
sofball,sofbal
sohih,sahih
sokhib,sahib
soko guru,sakaguru
solenoid,solenoide
sopmberero,sombrero
sorban,serban
sorga,surga
sosio drama,sosiodrama
souvenir,suvenir
spagheti,spageti
special,spesial
species,spesies
spirituil,spiritual
spon,spons
spor,sepur
sprint,sprin
spur,sepur
sreg,srek
srigala,serigala
stagen,setagen
stand,stan
standard,standar
standarisasi,standardisasi
stansa,stanza
stater,starter
statosfir,statosfer
stereotipe,stereotip
sticker,stiker
stip,setip
stir,setir
stock,stok
stricker,striker
strip,setrip
sub bab,subbab
sub bagian,subbagian
sub kontraktor,subkontraktor
sub tropik,subtropik
sub unit,subunit
subsidair,subsider
subtansi,substansi
subtitusi,substitusi
subyek,subjek
suiter,sweter
suka cita,sukacita
sup,sop
supermasi,supremasi
supir,sopir
surat,surah
survai,survei
survey,survei
susastera,susastra
sutra,sutera
swa sembada,swasembada
swis,swiss
syafa’at,syafaat
syah,sah
syahdu,sahdu
syahit,syahid
syaraf,saraf
syareat,syariat
syi’ar,siar
syrup,sirup
syubat,syubhat
syurga,surga
tabligh,tablig
tagen,setagen
tahta,takhta
takjim,takzim
tamzil,tamsil
tangker,tanker
tape,tapai
tapelak,taplak
tapi,tetapi
tarkim,tarkhim
tataniaga,tata niaga
taubat,tobat
tauge,taoge
taulada,teladan
tauladan,teladan
tawakkal,tawakal
taxi,taksi
team,tim
tehnik,teknik
tekat,tekad
tekek,tokek
telor,telur
telpon,telepon
tentram,tenteram
teoritis,teoretis
terimakasih,terima kasih
terlanjur,telanjur
terlantar,telantar
terlentang,telentang
termosfir,termosfer
terpedo,torpedo
test,tes
theater,teater
thesis,tesis
ticket,tiket
timun,mentimun
tips,tip
tolerir,toleransi
tour,tur
touris,turis
tournamen,turnamen
tradisionil,tradisional
transport,transpor
triliyun,triliun
triplek,tripleks
tropi,trofi
type,tipe
ujian ulangan,ujian ulang
ultra modern,ultramodern
umroh,umrah
urgent,urgen
urin,urine
ustadz,ustaz
vacum,vakum
vampire,vampir
vanilli,vanili
varietes,varietas
varitas,varietas
vegetarian,vegetaris
vermak,permak
vignet,vinyet
villa,vila
walikota,wali kota
yudo,judo
yunior,junior
yuri,juri
yuyitsu,jujitsu
zam-zam,zamzam
zarafah,jerapah
zerafah,jerapah
zigote,zigot
zigzag,zig-zag
zone,zona
